property_id,lat,lng,addr_street,suburb,lga,closet_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
89330,-37.946945,145.00372,21 Carew Street,SANDRINGHAM, PYRENEES ,19937,3.219544709827966,34,1,0,0,0,0
913,-37.808285,144.88559,36 Bayview Road,SEDDON, EAST GIPPSLAND ,20023,0.7212718239611074,15,1,1,0,0,0
18894,-37.68489,144.93169,45 Cuthbert Street,BROADMEADOWS, WODONGA ,20030,1.083170089018508,32,1,3,0,0,0
17746,-37.706245,144.95177,81 Domain Street,HADFIELD, WYNDHAM ,19961,0.8808630288831362,30,1,99,43,33,20
27858,-37.57379,144.9237,87 Cradle Mountain Drive,CRAIGIEBURN, YARRA RANGES ,40221,3.567359970722743,41,1,5,3,2,1
61254,-37.835625,145.22867,13 Clarke Drive,RINGWOOD, MACEDON RANGES ,19871,1.616111161282864,37,1,1,1,1,0
81139,-37.970734,145.21565,3/26 Vizard Street,DANDENONG, CARDINIA ,19888,2.2033577026460303,46,1,25,10,5,3
21401,-37.769966,144.96527,6 Evans Street,BRUNSWICK, MARIBYRNONG ,19968,0.5593758728657982,16,1,22,7,5,3
64653,-37.789616,145.29652,55 Allendale Road,CROYDON, CARDINIA ,19877,1.4982452426577564,46,1,25,10,5,3
12596,-37.724728,144.78027,2/13 Kingsley Place,DELAHEY, BULOKE ,20001,1.2892284146124797,31,1,0,0,0,0
2158,-37.78527,144.88077,32 Delacey Street,MAIDSTONE, BAW BAW ,20023,1.8841000122131728,15,1,3,0,0,0
47189,-37.70094,145.15858,41 Zig Zag Road,ELTHAM, FRANKSTON ,19987,1.6937981306587648,52,1,3,3,2,1
93122,-38.018192,145.10515,29 Larnook Crescent,ASPENDALE, YARRIAMBIACK ,19862,1.0387942044567533,51,1,0,0,0,0
78250,-37.92461,145.17296,6 Selwyn Court,MULGRAVE, MACEDON RANGES ,19913,3.2576884895819767,36,1,1,1,1,0
80843,-37.971806,145.2161,15 Vizard Street,DANDENONG, CARDINIA ,19888,2.097603363288072,46,1,25,10,5,3
